"","sample_name","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","NCBI_host_subject_ID"
"194","P19N240","281128722","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","103",NA,"15",15.5,NA,NA,6,"Fledged","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_15_nestling_281128722_15"
"195","P19N349","281128507","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","3",NA,"12",21.5,26.9,52,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_12_nestling_281128507_12"
"196","P19N448","278172487","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Turkey_Hill","97",NA,"12",17,24.1,40,3,"Fledged","","Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Day_12_nestling_278172487_12"
"197","P19NB16",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB16"
"198","P19NB20",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB20"
"199","L19N018a",NA,"2019","Nestling",NA,"19-Jun-19","TRES","Ithaca","Unit_4","61",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_6_nestling_Unit_4_61_2019_L19N018a"
"200","P19N040","272107599","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_4","80","1","ASY",25,27.4,121,NA,"","Ibutton, egg photo","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Adult_272107599_28-May-19"
"201","P19N184","278172420","2019","Adult","M","10-Jun-19","TRES","Ithaca","Turkey_Hill","3","1","AHY",21,29.3,119,NA,"","","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Adult_278172420_10-Jun-19"
"202","P19N249","281128738","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","39",NA,"12",17.5,25.8,47,5,"Fledged","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con","Day_12_nestling_281128738_12"
"203","P19N259","281128742","2019","Adult","M","14-Jun-19","TRES","Ithaca","Unit_2","105","1","AHY",19,28.8,121,NA,"","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Adult_281128742_14-Jun-19"
"204","P19NB9",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB9"
"205","L19N005c",NA,"2019","Nestling",NA,"10-Jun-19","TRES","Ithaca","Unit_4","94",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_6_nestling_Unit_4_94_2019_L19N005c"
"206","P19N018","272107284","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_2","19","1","SY",21.5,28.6,112,NA,"","","Unit_2_19_2019","Color_Stress","Pred_Con",NA,NA,"Died",NA,"Color_Stress_Pred_Con","Adult_272107284_24-May-19"
"207","P19N087","278172409","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_4","7","1","ASY",23,28.4,113,NA,"","","Unit_4_7_2019","Light","Light_Control",NA,NA,"Died",NA,"Light_Light_Control","Adult_278172409_01-Jun-19"
"208","P19N308","278171896","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_2","78","3","ASY",19,28.9,119,NA,"","The age is entered as ASY but for the same bird the age is SY for capture #1 and #2","Unit_2_78_2019","Color_Stress","Cont_Con",29,3,"Fledged",9.66666666666667,"Color_Stress_Cont_Con","Adult_278171896_17-Jun-19"
"209","P19N388","281128758","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","105",NA,"12",11.5,23.9,36,5,"Fledged","Some of the Dex leaked out.","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Day_12_nestling_281128758_12"
"210","P19N493","278172293","2019","Nestling","Unknown","28-Jun-19","TRES","Ithaca","Unit_2","72",NA,"15",18,NA,NA,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100. Plasma number recorded wrong, confirm on hard copy plasma log if any discrepency","Unit_2_72_2019","Color_Stress","Pred_Con",59,5,"Fledged",11.8,"Color_Stress_Pred_Con","Day_15_nestling_278172293_15"
"211","L19N007b",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_6_nestling_Turkey_Hill_106_2019_L19N007b"
"212","P19N031","262125490","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","311","1","ASY",23,27.8,120,NA,"","","Unit_1_311_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_262125490_27-May-19"
"213","P19N049","212110294","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","90","1","ASY",21.5,27.7,114,NA,"","","Unit_1_90_2019","Color_Stress","Pred_Con",52,5,"Died",10.4,"Color_Stress_Pred_Con","Adult_212110294_29-May-19"
"214","P19N316","272106986","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_2","9","1","AHY",17,28.5,120,NA,"","","Unit_2_9_2019","Color_Stress","Pred_Dul",22,3,"Fledged",7.33333333333333,"Color_Stress_Pred_Dul","Adult_272106986_17-Jun-19"
"215","P19N324","272107290","2019","Adult","F","17-Jun-19","TRES","Ithaca","Turkey_Hill","97","3","ASY",18.5,NA,NA,NA,"","","Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Adult_272107290_17-Jun-19"
"216","P19N429","281128681","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_1","86",NA,"12",17,24.6,37,3,"Fledged","","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Day_12_nestling_281128681_12"
"217","P19N038","278172147","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","101","2","ASY",21.5,NA,NA,NA,"","","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul","Adult_278172147_28-May-19"
"218","P19N339","240151291","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_1","302","1","AHY",19.75,28.8,115,NA,"","","Unit_1_302_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_240151291_17-Jun-19"
"219","P19N498","278172335","2019","Nestling","Unknown","30-Jun-19","TRES","Ithaca","Unit_4","15",NA,"12",16.5,24,47,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_12_nestling_278172335_12"
"220","P19NB11",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB11"
"221","P19NB14",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB14"
"222","L19N010d",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_6_nestling_Unit_4_78_2019_L19N010d"
"223","P19N048","278172151","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","32","1","SY",21.2,28.7,118,NA,"","","Unit_2_32_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Adult_278172151_29-May-19"
"224","P19N134","278172150","2019","Adult","F","07-Jun-19","TRES","Ithaca","Unit_2","80","3","SY",14.5,29.1,114,NA,"","Mass may be incorrect due to miscalibrated scale.","Unit_2_80_2019","Color_Stress","Cont_Dul",70,6,"Fledged",11.6666666666667,"Color_Stress_Cont_Dul","Adult_278172150_07-Jun-19"
"225","P19N189","281128722","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",19.5,24.4,45,6,"Fledged","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_12_nestling_281128722_12"
"226","P19N297","278172317","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","94",NA,"12",19.5,25.3,44,5,"Fledged","","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_12_nestling_278172317_12"
"227","P19N403","278172235","2019","Adult","F","21-Jun-19","TRES","Ithaca","Unit_1","83","3","SY",17.25,28.1,109,NA,"","","Unit_1_83_2019","Color_Stress","Cont_Dul",20,2,"Died",10,"Color_Stress_Cont_Dul","Adult_278172235_21-Jun-19"
"228","P19N506","281128780","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_2","50",NA,"12",18,24.7,43.5,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100. Dex expired March 2019","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_12_nestling_281128780_12"
"229","L19N012b",NA,"2019","Nestling",NA,"13-Jun-19","TRES","Ithaca","Unit_4","87",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_6_nestling_Unit_4_87_2019_L19N012b"
"230","P19N057","232146953","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_1","360","1","ASY",22.5,28.7,114,NA,"","","Unit_1_360_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_232146953_30-May-19"
"231","P19N142","278171876","2019","Adult","F","07-Jun-19","TRES","Ithaca","Unit_2","107","2","SY",20,NA,NA,NA,"","","Unit_2_107_2019","Color_Stress","Cont_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Dul","Adult_278171876_07-Jun-19"
"232","P19N304","278172433","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"12",19.5,24.5,47,5,"Fledged","Day 6 date is actually day 7.","Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_12_nestling_278172433_12"
"233","P19N451","281128753","2019","Nestling","Unknown","23-Jun-19","TRES","Ithaca","Unit_2","62",NA,"15",17,NA,NA,4,"Fledged","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Day_15_nestling_281128753_15"
"234","P19N494","278171397","2019","Adult","M","29-Jun-19","TRES","Ithaca","Unit_1","79","1","AHY",20,29.2,117,NA,"","","Unit_1_79_2019","","",70,5,"Fledged",14,"Control","Adult_278171397_29-Jun-19"
"235","P19N514","281128776","2019","Nestling","Unknown","07-Jul-19","TRES","Ithaca","Unit_2","119",NA,"15",18,NA,NA,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_119_2019","","",57,4,"Fledged",14.25,"Control","Day_15_nestling_281128776_15"
"236","P19N068","278172228","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","370","1","SY",22.75,28,115,NA,"","","Unit_1_370_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172228_31-May-19"
"237","P19N149","278172160","2019","Adult","F","08-Jun-19","TRES","Ithaca","Unit_2","64","2","ASY",19.5,NA,NA,NA,"","","Unit_2_64_2019","Color_Stress","Pred_Dul",35,6,"Died",5.83333333333333,"Color_Stress_Pred_Dul","Adult_278172160_08-Jun-19"
"238","P19N273","278172305","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_2","94",NA,"12",15,22.5,32,4,"Died","","Unit_2_94_2019","Color_Stress","Pred_Con",73,6,"Died",12.1666666666667,"Color_Stress_Pred_Con","Day_12_nestling_278172305_12"
"239","P19N354","278172444","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","80",NA,"12",23,26.5,55,6,"Fledged","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_12_nestling_278172444_12"
"240","P19N460","281128768","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_2","34",NA,"12",18.5,23.9,44,4,"Died","Data has not been proofed, as it was not on the proofing sheets.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_12_nestling_281128768_12"
"241","P19NB15",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB15"
"242","L19N018b",NA,"2019","Nestling",NA,"19-Jun-19","TRES","Ithaca","Unit_4","61",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_6_nestling_Unit_4_61_2019_L19N018b"
"243","P19N082","278172158","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_2","105","1","SY",19.5,28.3,111,NA,"","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Adult_278172158_01-Jun-19"
"244","P19N158","281128701","2019","Adult","F","09-Jun-19","TRES","Ithaca","Unit_1","105","3","SY",19.75,29,114,NA,"","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul","Adult_281128701_09-Jun-19"
"245","P19N285","281128739","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_2","39",NA,"15",17,NA,NA,5,"Fledged","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con","Day_15_nestling_281128739_15"
"246","P19N362","278172454","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","78",NA,"12",22.5,25.8,51,5,"Fledged","","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_12_nestling_278172454_12"
"247","P19NB12",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB12"
"248","P19N091","281128705","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_1","319","1","SY",24,28.7,117,NA,"","","Unit_1_319_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_281128705_02-Jun-19"
"249","P19N176","278171870","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_2","12","3","SY",19.5,28.8,114,NA,"","Bolus: Y, day six size: 59 grams, 5 nestlings","Unit_2_12_2019","Color_Stress","Pred_Dul",59,5,"Died",11.8,"Color_Stress_Pred_Dul","Adult_278171870_10-Jun-19"
"250","P19N292","281128804","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_1","81",NA,"12",14,23.1,35,5,"Fledged","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con","Day_12_nestling_281128804_12"
"251","P19N377","278172463","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_4","87",NA,"12",22.5,25.1,48,5,"Fledged","","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_12_nestling_278172463_12"
"252","P19N414","281128766","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","9",NA,"12",17,24.7,38,3,"Fledged","","Unit_2_9_2019","Color_Stress","Pred_Dul",22,3,"Fledged",7.33333333333333,"Color_Stress_Pred_Dul","Day_12_nestling_281128766_12"
"253","P19N480","278172289","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","72",NA,"12",18,24,46,5,"Fledged","Fecal sample number was originally recorded 100 lower than it should have been. Nestlings injected with expired dex.","Unit_2_72_2019","Color_Stress","Pred_Con",59,5,"Fledged",11.8,"Color_Stress_Pred_Con","Day_12_nestling_278172289_12"
"254","P19N098","278171876","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_2","107","1","SY",24.25,28.8,119,NA,"","","Unit_2_107_2019","Color_Stress","Cont_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Dul","Adult_278171876_02-Jun-19"
"255","P19N183","272107809","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_1","81","3","ASY",19,28.3,117,NA,"","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con","Adult_272107809_10-Jun-19"
"256","P19N226","278172258","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",20,25.7,51,6,"Fledged","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control","Day_12_nestling_278172258_12"
"257","P19N325","278172277","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Unit_2","116",NA,"15",17.25,NA,NA,5,"Fledged","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con","Day_15_nestling_278172277_15"
"258","P19N396","278172478","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_4","18",NA,"12",18,24.5,38,5,"Fledged","","Unit_4_18_2019","Light","Light",38,5,"Fledged",7.6,"Light_Light","Day_12_nestling_278172478_12"
"259","P19N489","281128769","2019","Nestling","Unknown","27-Jun-19","TRES","Ithaca","Unit_2","34",NA,"15",16.75,NA,NA,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_15_nestling_281128769_15"
"260","P19N109","281128706","2019","Adult","F","03-Jun-19","TRES","Ithaca","Unit_1","342","1","SY",19.75,27.7,115,NA,"","","Unit_1_342_2019","","Control",NA,NA,"Died",NA,"Control","Adult_281128706_03-Jun-19"
"261","P19N204","278171875","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","117","3","SY",18.75,27.5,113.5,NA,"","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul","Adult_278171875_12-Jun-19"
"262","P19N233","281128716","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","35",NA,"15",17,NA,NA,4,"Fledged","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul","Day_15_nestling_281128716_15"
"263","P19N342","278172305","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","94",NA,"15",14.25,NA,NA,2,"Died","","Unit_2_94_2019","Color_Stress","Pred_Con",73,6,"Died",12.1666666666667,"Color_Stress_Pred_Con","Day_15_nestling_278172305_15"
"264","P19N422","278172481","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_4","12",NA,"12",16,24.5,31,3,"Fledged","","Unit_4_12_2019","Light","Light",20.74,3,"Fledged",6.91333333333333,"Light_Light","Day_12_nestling_278172481_12"
"265","P19NB13",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB13"
"266","P19N004","278172146","2019","Adult","F","21-May-19","TRES","Ithaca","Unit_2","44","1","SY",22,28.2,120,NA,"","","Unit_2_44_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con","Adult_278172146_21-May-19"
"267","P19N116","278171873","2019","Adult","F","04-Jun-19","TRES","Ithaca","Unit_2","82","2","SY",17,NA,NA,NA,"","","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con","Adult_278171873_04-Jun-19"
"268","P19N212","272107009","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","301","1","AHY",20.5,29.4,128,NA,"","Male  just for lysis and telomere","Unit_1_301_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_272107009_12-Jun-19"
"269","P19N241","278172269","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",18.5,24.5,51,7,"Fledged","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con","Day_12_nestling_278172269_12"
"270","P19N350","281128509","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","3",NA,"12",17.5,24,41.5,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_12_nestling_281128509_12"
"271","P19N449","278172488","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Turkey_Hill","97",NA,"12",16,22,35,3,"Died","","Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Day_12_nestling_278172488_12"
"272","P19N056","278172403","2019","Adult","F","29-May-19","TRES","Ithaca","Turkey_Hill","121","1","ASY",21.5,28.4,114,NA,"","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Adult_278172403_29-May-19"
"273","P19N168","281128710","2019","Nestling","Unknown","09-Jun-19","TRES","Ithaca","Unit_2","111",NA,"15",19,NA,NA,5,"Died","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Day_15_nestling_281128710_15"
"274","P19N185","278172419","2019","Adult","F","10-Jun-19","TRES","Ithaca","Turkey_Hill","116","1","SY",19.5,26.7,116,NA,"","","Turkey_Hill_116_2019","Light","Light_Control",NA,NA,"Abandoned",NA,"Light_Light_Control","Adult_278172419_10-Jun-19"
"275","P19N250","281128739","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","39",NA,"12",19.5,21.7,60,5,"Fledged","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con","Day_12_nestling_281128739_12"
"276","P19N262","272107335","2019","Adult","M","14-Jun-19","TRES","Ithaca","Unit_2","15","1","AHY",19.75,29.2,118,NA,"","Trap is just listed as ""trap"" on the sheet","Unit_2_15_2019","Color_Stress","Pred_Con",52,4,"Died",13,"Color_Stress_Pred_Con","Adult_272107335_14-Jun-19"
"277","P19N381","281128503","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","41",NA,"15",18.75,NA,NA,4,"Fledged","","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con","Day_15_nestling_281128503_15"
"278","L19N005d",NA,"2019","Nestling",NA,"10-Jun-19","TRES","Ithaca","Unit_4","94",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_6_nestling_Unit_4_94_2019_L19N005d"
"279","P19N009","88004570","2019","Adult","F","22-May-19","TRES","Ithaca","Unit_2","121","1","ASY",22.5,28.9,119,NA,"","","Unit_2_121_2019","Color_Stress","Cont_Dul",8,1,"Fledged",8,"Color_Stress_Cont_Dul","Adult_88004570_22-May-19"
"280","P19N019","278172097","2019","Adult","F","25-May-19","TRES","Ithaca","Unit_1","306","1","SY",22,20.3,117,NA,"","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172097_25-May-19"
"281","P19N088","278172406","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_4","18","1","SY",23.5,27.2,115,NA,"","Toe fell off in bag due to Pox","Unit_4_18_2019","Light","Light",38,5,"Fledged",7.6,"Light_Light","Adult_278172406_01-Jun-19"
"282","P19N309","281128601","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_2","99","3","SY",17.5,28.2,122,NA,"","","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Adult_281128601_17-Jun-19"
"283","P19N389","281128751","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","62",NA,"12",14.75,25.4,46,4,"Fledged","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Day_12_nestling_281128751_12"
"284","L19N019a",NA,"2019","Nestling",NA,"20-Jun-19","TRES","Ithaca","Unit_4","84",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_84_2019","Light","Light_Control",84.4,5,"Fledged",16.88,"Light_Light_Control","Day_6_nestling_Unit_4_84_2019_L19N019a"
"285","P19N063","272106817","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","22","1","ASY",22.5,27.7,117,NA,"","","Unit_2_22_2019","Color_Stress","Cont_Con",NA,NA,"Died",NA,"Color_Stress_Cont_Con","Adult_272106817_30-May-19"
"286","P19N252","281128734","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","20",NA,"12",20,26.2,53,4,"Died","There was no dex bleed, but there is a dex glucose listed. There is a stress bleed, but no stress glucose listed. Unsure if the listed glucose is supposed to be for the stress bleed or if a tiny amount of dex blood was used for the dex glucose.","Unit_2_20_2019","Color_Stress","Cont_Con",47,4,"Fledged",11.75,"Color_Stress_Cont_Con","Day_12_nestling_281128734_12"
"287","P19N317","272107361","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_2","31","3","SY",17,28.3,111,NA,"","","Unit_2_31_2019","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul","Adult_272107361_17-Jun-19"
"288","P19N366","278172459","2019","Adult","M","19-Jun-19","TRES","Ithaca","Unit_4","61","1","AHY",20,28.3,117,NA,"","","Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Adult_278172459_19-Jun-19"
"289","P19N430","281128682","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_1","86",NA,"12",16,24.1,42,3,"Fledged","The post-injection bleed time ""2:03:00 PM"" is not listed on the sheet and may have just been assumed.","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Day_12_nestling_281128682_12"
"290","L19N008f",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_6_nestling_Turkey_Hill_121_2019_L19N008f"
"291","P19N039","272106822","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","68","2","ASY",21,NA,NA,NA,"","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Adult_272106822_28-May-19"
